Department Name,Course Code,Course Title,Type,Prerequisites,Theoritical,Practical,Course Credits,ECTS
English Language and Literature Department,ISS 382,H:Muhtasaru'I-Kuduri: Muamelat,Gen/Coll/Departmental Elective,,3,0,3,3
English Language and Literature Department,ISS 384,H: Mebahis fi Usuli'd-Din: Mutun Muhtara,Gen/Coll/Departmental Elective,,3,0,3,4
English Language and Literature Department,ISS 482,H: en-Nazariyyatu'I-Kevniyye: Mutun Muhtara,Gen/Coll/Departmental Elective,,3,0,3,4
English Language and Literature Department,ISS 488,H:el-Muvatta,Gen/Coll/Departmental Elective,,3,0,3,4
English Language and Literature Department,ARCH 106,Introduction to Architecture I,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CS 200,Summer Practice,Gen/Coll/Departmental Elective,,0,0,0,5
English Language and Literature Department,CS 201,Data Structures and Algorithms,Gen/Coll/Departmental Elective,"ENGR 101, MATH 104",3,0,3,5
English Language and Literature Department,CS 202,Advanced Algorithms,Gen/Coll/Departmental Elective,CS 201,3,0,3,5
English Language and Literature Department,CS 240,Exploratory Data Analysis,Gen/Coll/Departmental Elective,"Pre-requisite (ENGR 100 or CS 100), ENGR 251, ENGR 105",3,0,3,4
English Language and Literature Department,CS 300,Summer Practice,Gen/Coll/Departmental Elective,,0,0,0,5
English Language and Literature Department,CS 351,Computer Architecture,Gen/Coll/Departmental Elective,EECS 218,3,0,3,5
English Language and Literature Department,CS 352,Operating Systems,Gen/Coll/Departmental Elective,ENGR 102,3,0,3,5
English Language and Literature Department,CS 361,Software,Gen/Coll/Departmental Elective,ENGR 102,3,0,3,5
English Language and Literature Department,CS 364,Computer Networks,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CS 381,Object Oriented Programming,Gen/Coll/Departmental Elective,ENGR 102,3,0,3,5
English Language and Literature Department,CTV 201,Basic Photography,Gen/Coll/Departmental Elective,,2,2,3,5
English Language and Literature Department,CTV 202,Advanced Photography,Gen/Coll/Departmental Elective,,2,2,3,5
English Language and Literature Department,CTV 203,Art of Storytelling,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 204,Screenwriting,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 205,Key Concepts in Moving Image Studies,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 206,History of Cinema,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 207,Introduction to Media and Communication Studies,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 208,Sociology of Media,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 211,Introduction to Cinematography and Lighting,Gen/Coll/Departmental Elective,,2,2,3,5
English Language and Literature Department,CTV 212,Editing,Gen/Coll/Departmental Elective,,2,1,3,5
English Language and Literature Department,CTV 214,Film Sound,Gen/Coll/Departmental Elective,,2,1,3,5
English Language and Literature Department,CTV 253,Business Communication,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 303,Film Theory and Aesthetics,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 305,Television Studies,Gen/Coll/Departmental Elective,,2,2,3,5
English Language and Literature Department,CTV 306,Ethnography in/of Media,Gen/Coll/Departmental Elective,,2,2,3,5
English Language and Literature Department,CTV 308,TV and Film Production,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 309,Film Culture,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 310,Film Production,Gen/Coll/Departmental Elective,,2,2,3,10
English Language and Literature Department,CTV 312,Unforgotten Cinema,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 313,Auteur Cinema,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 314,Music and Sound Design in Film,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 315,Cinema in Turkey,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 320,Popular Culture and Media,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 321,History of Art and Culture,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 322,Brand Management,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 324,Media Ethics,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 331,Cyberculture,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 332,Urban Imagery and Visual Narrative,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 335,Critical Approaches to Modern Image,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 341,Anthropology of Media,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 342,"Gender, Race, Class in Media",Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 344,Intercultural Communication,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 347,Advanced Screenwriting,Gen/Coll/Departmental Elective,CTV 204,1,2,3,5
English Language and Literature Department,CTV 349,Imagined Networks: Media and Migration,Gen/Coll/Departmental Elective,,2,2,3,5
English Language and Literature Department,CTV 351,New Approaches in Marketing Communication,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 353,Services Marketing,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 355,Digital Marketing,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 358,International Journalism,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 401,Graduation Project,Gen/Coll/Departmental Elective,,3,2,4,10
English Language and Literature Department,CTV 402,Senior Graduation Project,Gen/Coll/Departmental Elective,CTV 401,3,2,4,15
English Language and Literature Department,CTV 403,Documentary Making,Gen/Coll/Departmental Elective,,2,2,3,10
English Language and Literature Department,CTV 404,World Cinema,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 406,New Ways of Seeing,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 411,Silent Cinema,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 413,Cinema and Politics,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 414,Cinema and Feminism,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 417,Film Genres,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 419,History of Turkish Media,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 421,Cultural Studies,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 430,Art of Animation,Gen/Coll/Departmental Elective,,2,2,3,5
English Language and Literature Department,CTV 432,Visual Communication and Design,Gen/Coll/Departmental Elective,,2,2,3,5
English Language and Literature Department,CTV 433,Experimantel Film and Video,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 436,The Way to the Narrative,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 453,News Reporting and Writing,Gen/Coll/Departmental Elective,,2,2,3,5
English Language and Literature Department,CTV 454,Multimedia Journalism,Gen/Coll/Departmental Elective,,2,2,3,5
English Language and Literature Department,CTV 457,Digital Media and Culture,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 481,Special Topics in Cinema and Television I,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,CTV 482,Special Topics in Cinema and Television II,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,ECON 202,Microeconomics,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,ECON 204,Advanced Microeconomics,Gen/Coll/Departmental Elective,"ECON 201, ECON 202",3,0,3,5
English Language and Literature Department,ECON 205,Intermediate Microeconomics,Gen/Coll/Departmental Elective,ECON 202,3,0,3,5
English Language and Literature Department,ECON 206,Intermediate Macroeconomics,Gen/Coll/Departmental Elective,ECON 201,3,0,3,5
English Language and Literature Department,ECON 208,Advanced Macroeconomics,Gen/Coll/Departmental Elective,"ECON 201, ECON 202",3,0,3,5
English Language and Literature Department,ECON 302,Economic Policy,Gen/Coll/Departmental Elective,"ECON 201, ECON 202",3,0,3,5
English Language and Literature Department,ECON 303,Evolution of Economies and Economics,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,ECON 305,Economic History of Turkey,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,ECON 306,Economic History of Europe,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,ECON 307,Behavioral Economics,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,ECON 308,World Economy,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,ECON 309,Managerial Economics,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,ECON 331,Econometrics,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,ECON 401,Global Economic Thought,Gen/Coll/Departmental Elective,,3,0,3,7
English Language and Literature Department,ECON 402,Economic History of the Ottoman Empire,Gen/Coll/Departmental Elective,,3,0,3,6
English Language and Literature Department,ECON 403,Turkish Economy,Gen/Coll/Departmental Elective,,3,0,3,7
English Language and Literature Department,ECON 405,Institutional Economics ,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,ECON 406,Financial Economics,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,ECON 407,Economic Methodology and Philosophy of Economics ,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,ECON 408,Growth and Development,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,ECON 409,Applied Economic Analysis,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,ECON 410,Real Estate Economics and Finance,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,ECON 411,Topics in İslamic Economics and Finance,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,ECON 412,Topics in Islamic Economics,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,ECON 413,Analytical Political Economy,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,ECON 414,Labor Economics,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,ECON 415,Making Better Decisions,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,ECON 450,Economics Through Fiction,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,EE 200,Summer Practice,Gen/Coll/Departmental Elective,,0,0,0,5
English Language and Literature Department,EE 201,Circuit Analysis,Gen/Coll/Departmental Elective,"MATH 206, EECS 201",3,2,4,5
English Language and Literature Department,EE 232,Probability and Stochastic Processes,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,EE 300,Summer Practice,Gen/Coll/Departmental Elective,,0,0,0,5
English Language and Literature Department,EE 302,Microelectronic Circuit Design,Gen/Coll/Departmental Elective,EE 201,3,2,4,5
English Language and Literature Department,EE 311,Introduction to Electronic Devices,Gen/Coll/Departmental Elective,MATH 103,3,0,3,5
English Language and Literature Department,EE 312,Introduction to Communication Systems,Gen/Coll/Departmental Elective,EECS 216,3,0,3,5
English Language and Literature Department,EE 321,Electromagnetics,Gen/Coll/Departmental Elective,"PHYS 104, MATH 206",3,0,3,5
English Language and Literature Department,EE 322,Electromagnetics II,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,EE 324,Control Systems,Gen/Coll/Departmental Elective,"Jenior Year Standing, EECS 216",3,0,3,5
English Language and Literature Department,EE 331,Digital Electronics,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,EE 332,Microprocessors,Gen/Coll/Departmental Elective,EECS 218,3,2,4,5
English Language and Literature Department,EECS 201,System Design Fundamentals,Gen/Coll/Departmental Elective,"Pre-requisite (ENGR 100 or CS 100), ENGR 105",3,2,4,6
English Language and Literature Department,EECS 202,Basic Digital Communication with Networking,Gen/Coll/Departmental Elective,"Pre-requisite (ENGR 100 or CS 100), Pre-requisite (ENGR 100 or CS 100), ENGR 105",3,2,4,6
English Language and Literature Department,EECS 211,Introduction to Programming,Gen/Coll/Departmental Elective,,3,2,3,5
English Language and Literature Department,EECS 214,Unix Operating System,Gen/Coll/Departmental Elective,,1,2,2,4
English Language and Literature Department,EECS 216,Signals and Systems,Gen/Coll/Departmental Elective,"MATH 104, MATH 206",3,0,3,5
English Language and Literature Department,EECS 218,Digital Logic Design,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,EECS 221,Embedded Systems Programming in C,Gen/Coll/Departmental Elective,ENGR 101,3,0,3,5
English Language and Literature Department,EECS 241,Discrete Mathematics,Gen/Coll/Departmental Elective,MATH 103,3,0,3,4
English Language and Literature Department,EECS 244,Differential Equations and Linear Algebra,Gen/Coll/Departmental Elective,,3,0,3,5
English Language and Literature Department,EECS 401,Engineering Practice and Professionalism,Gen/Coll/Departmental Elective,At Least Success 90 Crh,2,0,2,2
